nome;cultura;saco;preco
MEGATHYRSUS MAXIMUS ARUANA SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS ARUANA SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV ARUANA GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA DECUMBENS BASILISK SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA DECUMBENS BASILISK SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA DECUMBENS BASILISK SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA DECUMBENS CV BASILISK GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA RUZIZIENSIS BRS INTEGRA SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA BRS PAIAGUAS SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA CV BRS PAIAGUAS GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV BRS PAIAGUAS GRAFITADA 500KG;Pecuária;500 kg;0
B. BRIZANTHA CV PIATA PRO 95;Pecuária;—;0
UROCHLOA BRIZANTHA BRS PIATA SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA BRS PIATA SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA BRS PIATA SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA CV BRS PIATA GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV BRS PIATA GRAFITADA 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS BRS TAMANI SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS BRS TAMANI SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS BRS TAMANI SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV BRS TAMANI GRAFITADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS BRS ZURI SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS BRS ZURI SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS BRS ZURI SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV BRS ZURI GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA CV HUMIDICOLA GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA HUMIDICOLA SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA HUMIDICOLA HUMIDICOLA SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA HUMIDICOLA SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA BRS RB331 IPYPORA SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA BRS RB331 IPYPORA SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA BRS RB331 IPYPORA SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA CV BRS RB331 IPYPORA GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA CV LLANERO GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA LLANERO SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA HUMIDICOLA LLANERO SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA LLANERO SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA CV MARANDU GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV MARANDU GRAFITADA 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA CV MARANDU PRO 95;Pecuária;—;0
UROCHLOA BRIZANTHA MARANDU SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA MARANDU SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA MARANDU SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV MASSAI GRAFITADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS CV MASSAI GRAFITADA 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS MASSAI SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS MASSAI SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MASSAI SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA CV MG-4 GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA MG-4 SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA MG-4 SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA MG-4 SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
UROCHLOA BRIZANTHA CV MG-5 GRAFITADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA MG-5 SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
UROCHLOA BRIZANTHA MG-5 SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA MG-5 SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV MIYAGUI GRAFITADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MIYAGUI SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS MIYAGUI SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MIYAGUI SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV MOMBAÇA GRAFITADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MOMBAÇA SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS MOMBAÇA SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MOMBAÇA SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV MOMBACA GRAFITADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MOMBACA SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS MOMBACA SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS MOMBACA SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS BRS QUENIA SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS BRS QUENIA SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS BRS QUENIA SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
B. RUZIZIENSIS PROMAX;Agricultura;—;0
SEM. RUZIZIENSIS PROMAX BG 500KG;Agricultura;500 kg;0
UROCHLOA RUZIIENSIS CV RUZIZIENSIS GRAFITADA - (P) 10KG;Agricultura;10 kg;0
UROCHLOA RUZIIENSIS CV RUZIZIENSIS GRAFITADA - TRATADA - 10KG;Agricultura;10 kg;0
UROCHLOA RUZIIENSIS CV RUZIZIENSIS GRAFITADA (P) 10 KG;Agricultura;10 kg;0
